Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,miniPCIe,mini-PCIe,90.164412,-104.159558,90.0,bottom
J2,Conn_01x24,PrototypeBoard,109.22,-129.54,180.0,bottom
